SG1,SG2,SG3,SG4,SG5,LVDT1,LVDT2,LVDT3,LVDT4,LVDT5,applied_load
0.6267488254107096,0.4833195454486583,0.3100635701152077,0.5603261352170714,0.370910629079897,0.03762890710830972,0.08475884435281128,0.04092302146310357,0.030614840415039105,0.021976662812227068,10.0
0.8721382135694237,0.9805974287378334,0.6802330796053132,0.3297339398996685,0.12653232462061959,0.0021584090888957853,0.009017561534247032,0.0817815532519521,0.07529101434049335,0.06366747352428163,10.0
0.847332761891714,0.7935852462871615,0.275437000900165,0.5527833957750666,0.9240958955179794,0.027077119831300147,0.027328519812884103,0.0017964492470076143,0.009764773600313525,0.050924969090750595,10.0
0.8750953947820488,0.8072191016354741,0.17256929789971864,0.5302788052892613,0.4325248984319945,0.07019838045820231,0.026158907266630838,0.07996215284457689,0.06070137592653743,0.0677694138054397,10.0
0.31453629694784224,0.595183909186691,0.3783447257292365,0.21155655635281756,0.4395230220166102,0.09936371920852467,0.011998789527704647,0.03167623273193494,0.025270177595978074,0.08333973919137527,10.0
0.5201202404186378,0.7638292008825084,0.9322420012693621,0.08605999762702121,0.13013531387182165,0.06249867990378575,0.06979616944334203,0.05138248858333471,0.019506074551622066,0.018222360255869954,10.0
0.5870790043446751,0.6483696576686298,0.370750090523567,0.5717551784694749,0.4203699806705701,0.07093074358342998,0.03069218807550882,0.011058939436895378,0.07397733333714641,0.06356087500470868,10.0
0.9551238345976766,0.6150849907269407,0.08357316348401678,0.6654374881952615,0.22511759861963465,0.05594412471450122,0.08513003454123028,0.08832462529789865,0.05966356769428749,0.00587547860904073,10.0
0.5885111494926688,0.05025266724682298,0.7538558817355298,0.26146983271419655,0.48608418139743614,0.08547552786218765,0.03330296871653358,0.0755256160795394,0.07210172023966044,0.0265880227447073,10.0
0.32439545821764804,0.1500212453778782,0.09805700514094007,0.6809301010123744,0.8045546090344005,0.09549474060097668,0.06326253135277185,0.09684921524015151,0.04400133409598955,0.02087197680874624,10.0
0.7746414620880117,0.34239755574738384,0.728087827665274,0.34086475108055747,0.402468473851351,0.08941170901895473,0.01757953391058278,0.09472862120903401,0.059746914490076054,0.075133888139647,10.0
0.48316296361039834,0.15524113348457835,0.32847421582213443,0.7181648007234089,0.3661537463565263,0.06968862283969568,0.09473644572371968,0.07856954862877207,0.08243720390236586,0.018692485503899348,10.0
0.25887862519361093,0.5148678215371078,0.930842405747596,0.4279000405364234,0.9768292052046175,0.02939589501632253,0.023481515434934454,0.09707853961498923,0.018763679823822856,0.004695219914105042,10.0
